Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
,2,,O RING ID 160mm x 4mm
,1,,CIRCLIP ø 42mm
,2,,CIRCLIP ø 25mm
,10,FOR 1 & 2,HEX BOLT M10x25L - H.T. Gr. 8.8
,8,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,2,FOR 9 & 10,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x45L
,4,FOR 1 & 7,ALLEN BOLT M20x50L
,3,FOR 8 & 9,ALLEN BOLT M8x25L
,3,FOR 9 & 10,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 5 & 12,PARALLEL KEY 12x8x40
,1,FOR 12 & 16,PARALLEL KEY 8x7x25
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 155mm
SLT-250/F35,1,,WGB HOUSING SLT-250/F35
,1,,WGB COVER SLT-250/F35
,1,,QUADRANT SLT-250/F35
,1,,WORM ø 115x103L - EN19
,1,,WORM SHAFT ø 50x413L - EN8
,2,,SPACER ø 75x17L
,1,DC-09,SGB HOUSING DC-09
,1,DC-09,SGB COVER DC-09
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,"I , DC-09",SPUR GEAR-I  DC-09
,1,"II , DC-09",SPUR GEAR-II  DC-09
,1,MX-02,SPUR GEAR MX-02
,1,"I, DC-09",PINION SHAFT ø 55x144L - EN19
,1,"II, DC-9",PINION SHAFT ø 55x143L - EN19
,1,MX-02,PINION SHAFT ø 50x135L - EN19
,1,,HANDWHEEL ø 750mm
,1,FOR 5 & 7,BUSH ø 55x23L
,1,FOR 7 & 15,BUSH ø 40x27L
,1,FOR 8 & 15,BUSH ø 40x24L
,1,FOR 8 & 14,BUSH ø 35x27L
,1,FOR 9 & 14,BUSH ø 35x21L
,1,FOR 9 & 16,BUSH ø 35x19L
,1,FOR 10 & 16,BUSH ø 35x23L
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING AXK 7095+GS+WS
,1,,BEARING AXK 2542+AS+AS
,2,,NEEDLE ROLLER CAGE KT 455320
,1,,NEEDLE ROLLER CAGE KT 253017
,3,,THRUST RACES AS 2542
,1,,THRUST RACES AS 3047
,2,,O RING ID 180mm x 4mm
,1,,CIRCLIP ø 42mm
,3,,CIRCLIP ø 25mm
,10,FOR 1 & 2,HEX BOLT M10x25L - H.T. Gr. 8.8
,8,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,2,FOR 9 & 10,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x45L
,4,FOR 1 & 7,ALLEN BOLT M20x50L
,3,FOR 8 & 9,ALLEN BOLT M8x25L
,3,FOR 9 & 10,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 16 & 17,HEX BOLT M8x15L - M.S
,1,FOR 5 & 12,PARALLEL KEY 12x8x40
,1,FOR 11 & 15,PARALLEL KEY 8x7x25
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16 & 17,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 175mm
,1,FOR 17,INDICATOR PLATE ø 50mm
,1,FOR 17 & 44,WASHER ID 9 x OD 30 x 1 THK
SLT-250/F35 EO,1,,WGB HOUSING SLT-250/F35
,1,,WGB COVER SLT-250/F35
,1,,QUADRANT SLT-250/F35
,1,,WORM ø 115x103L - EN19
,1,,WORM SHAFT ø 50x413L - EN8
,2,,SPACER ø 75x17L
,1,DC-09,SGB HOUSING DC-09
,1,DC-09,SGB COVER DC-09
,1,MX-02,SGB HOUSING MX-02
,1,MX-02,SGB COVER MX-02
,1,"I , DC-09",SPUR GEAR-I  DC-09
,1,"II , DC-09",SPUR GEAR-II  DC-09
,1,MX-02,SPUR GEAR MX-02
,1,"I, DC-09",PINION SHAFT ø 55x144L - EN19
,1,"II, DC-9",PINION SHAFT ø 55x143L - EN19
,1,MX-02,PINION SHAFT ø 50x209L - EN19
,1,FOR 5 & 7,BUSH ø 55x23L
,1,FOR 7 & 15,BUSH ø 40x27L
,1,FOR 8 & 15,BUSH ø 40x24L
,1,FOR 8 & 14,BUSH ø 35x27L
,1,FOR 9 & 14,BUSH ø 35x21L
,1,FOR 9 & 16,BUSH ø 35x19L
,1,FOR 10 & 16,BUSH ø 35x19L
,2,,"SPIRAL PIN ø 1/2""x70L"
,2,,BEARING AXK 7095+GS+WS
,1,,BEARING AXK 2542+AS+AS
,2,,NEEDLE ROLLER CAGE KT 455320
,1,,NEEDLE ROLLER CAGE KT 253017
,3,,THRUST RACES AS 2542
,1,,THRUST RACES AS 3047
,2,,O RING ID 180mm x 4mm
,1,,CIRCLIP ø 42mm
,2,,CIRCLIP ø 25mm
,10,FOR 1 & 2,HEX BOLT M10x25L - H.T. Gr. 8.8
,8,FOR 7 & 8,HEX BOLT M8x35L - H.T. Gr. 8.8
,2,FOR 9 & 10,HEX BOLT M8x25L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x45L
,4,FOR 1 & 7,ALLEN BOLT M20x50L
,3,FOR 8 & 9,ALLEN BOLT M8x25L
,3,FOR 9 & 10,ALLEN BOLT M8x20L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 5 & 12,PARALLEL KEY 12x8x40
,1,FOR 12 & 16,PARALLEL KEY 8x7x25
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 155mm
SLT-350/F35,1,,WGB HOUSING SLT-350/F35
,1,,WGB COVER SLT-350/F35
,1,,QUADRANT SLT-350/F35
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x480L - EN8
,2,,SPACER ø 85x18L
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-03,SGB HOUSING SM-03
,1,SM-03,SGB COVER SM-03
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-03,SPUR GEAR  SM-03
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-03,PINION SHAFT ø 50x151L - EN19
,1,,HANDWHEEL ø 750mm
,1,FOR 5 & 7,BUSH ø 65x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x80L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 556020
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 2542
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 55mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,12,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 9 & 10,HEX BOLT M8x50L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 16 & 17,HEX BOLT M8x15L - M.S
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16 & 17,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
,1,FOR 17,INDICATOR PLATE ø 50mm
,1,FOR 17 & 46,WASHER ID 9 x OD 30 x 1 THK
SLT-350/F35 EO,1,,WGB HOUSING SLT-350/F35
,1,,WGB COVER SLT-350/F35
,1,,QUADRANT SLT-350/F35
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x480L - EN8
,2,,SPACER ø 85x18L
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-03,SGB HOUSING SM-03
,1,SM-03,SGB COVER SM-03
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-03,SPUR GEAR  SM-03
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-03,PINION SHAFT ø 50x232L - EN19
,1,FOR 5 & 7,BUSH ø 65x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x80L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 556020
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 2542
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 55mm
,2,,CIRCLIP ø 30mm
,12,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,3,FOR 9 & 10,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
SLT-460/F35,1,,WGB HOUSING SLT-460/F35
,1,,WGB COVER SLT-460/F35
,1,,QUADRANT SLT-460/F35
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x480L - EN8
,2,,SPACER ø 85x18L
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-05,SPUR GEAR  SM-05
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-05,PINION SHAFT ø 40x151L - EN19
,1,,HANDWHEEL ø 750mm
,1,FOR 5 & 7,BUSH ø 65x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x80L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 556020
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 2542
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 55mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,12,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 9 & 10,HEX BOLT M8x50L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 16 & 17,HEX BOLT M8x15L - M.S
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16 & 17,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
,1,FOR 17,INDICATOR PLATE ø 50mm
,1,FOR 17 & 46,WASHER ID 9 x OD 30 x 1 THK
SLT-460/F35 EO,1,,WGB HOUSING SLT-460/F35
,1,,WGB COVER SLT-460/F35
,1,,QUADRANT SLT-460/F35
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x480L - EN8
,2,,SPACER ø 85x18L
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-05,SPUR GEAR  SM-05
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-05,PINION SHAFT ø 40x232L - EN19
,1,FOR 5 & 7,BUSH ø 65x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x80L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 556020
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 2542
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 55mm
,2,,CIRCLIP ø 30mm
,12,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,3,FOR 9 & 10,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M20x125L
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
SLS-06/F40,1,,WGB HOUSING SLS-06/F40
,1,,WGB COVER SLS-06/F40
,1,,QUADRANT SLS-06/F40
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x538L - EN8
,2,,COLLAR ø 110x32L - EN8
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-05,SPUR GEAR  SM-05
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-05,PINION SHAFT ø 40x151L - EN19
,1,,HANDWHEEL ø 750mm
,1,FOR 5 & 7,BUSH ø 70x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x85L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 586420
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 3552
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 58mm
,2,,CIRCLIP ø 30mm
,1,,CIRCLIP ø 25mm
,14,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 9 & 10,HEX BOLT M8x50L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M30x140L
,1,FOR 16 & 17,HEX BOLT M8x15L - M.S
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16 & 17,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
,1,FOR 17,INDICATOR PLATE ø 50mm
,1,FOR 17 & 46,WASHER ID 9 x OD 30 x 1 THK
SLS-06/F40 EO,1,,WGB HOUSING SLS-06/F40
,1,,WGB COVER SLS-06/F40
,1,,QUADRANT SLS-06/F40
,1,,WORM ø 140x225L - EN19
,1,,WORM SHAFT ø 60x538L - EN8
,2,,COLLAR ø 110x32L - EN8
,1,DT-09,SGB HOUSING DT-09
,1,DT-09,SGB COVER DT-09
,1,SM-05,SGB HOUSING SM-05
,1,SM-05,SGB COVER SM-05
,1,"I , DT-09",SPUR GEAR-I  DT-09
,1,"II , DT-09",SPUR GEAR-II  DT-09
,1,SM-05,SPUR GEAR  SM-05
,1,"I, DT-09",PINION SHAFT ø 60x161L - EN19
,1,"II, DT-9",PINION SHAFT ø 75x141L - EN19
,1,SM-05,PINION SHAFT ø 40x232L - EN19
,1,FOR 5 & 7,BUSH ø 70x28L
,1,FOR 7 & 15,BUSH ø 55x28L
,1,FOR 8 & 14,BUSH ø 40x28L
,1,FOR 7 & 14,BUSH ø 40x28L
,1,FOR 9 & 14,BUSH ø 40x18L
,1,FOR 9 & 16,BUSH ø 35x21L
,1,FOR 10 & 16,BUSH ø 35x37L
,2,,"SPIRAL PIN ø 1/2""x85L"
,2,,BEARING AXK 80105+GS+WS
,2,,NEEDLE ROLLER CAGE KT 586420
,1,,NEEDLE ROLLER CAGE KT 455320
,1,,THRUST RACES AS 4565
,2,,THRUST RACES AS 3047
,2,,THRUST RACES AS 3552
,2,,O RING ID 220mm x 4mm
,2,,CIRCLIP ø 58mm
,2,,CIRCLIP ø 30mm
,14,FOR 1 & 2,HEX BOLT M12x40L - H.T. Gr. 8.8
,5,FOR 7 & 8,HEX BOLT M10x25L - H.T. Gr. 8.8
,6,FOR 9 & 10,HEX BOLT M8x35L - H.T. Gr. 8.8
,3,FOR 9 & 10,ALLEN BOLT M8x35L - H.T. Gr. 8.8
,4,FOR 8 & 9,HEX BOLT M10x30L - H.T. Gr. 8.8
,2,,GRUB SCREW M16x12L
,2,,EYE BOLT M16x25L
,4,FOR 1 & 7,ALLEN BOLT M20x45L
,3,FOR 8 & 9,ALLEN BOLT M10x25L
,2,STOPPER STUD WITH NUT,HEX BOLT WITH NUT M30x140L
,1,FOR 5 & 12,PARALLEL KEY 16x10x45
,1,FOR 11 & 15,PARALLEL KEY 14x9x36
,1,FOR 13 & 14,PARALLEL KEY 8x7x32
,1,FOR 16,PARALLEL KEY 8x7x40
,1,FOR 3,INDICATOR PLATE ø 215mm
